INDEX,NOMBRE_DATA_VIAJES,NOMBRE_RESULTS_5,RATIO,
148,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,ALMAFUERTE EMPRESA DE TRANSPORTE SACIEI,93,
149,EL PUENTE S.A.T.,EL PUENTE SAT,93,
150,MICRO OMNIBUS SUR S.A.C.,MICRO OMNIBUS SUR SA,93,
151,TRANSPORTES 1º SEPTIEMBRE S.A.,TRANSPORTES 1º DE SEPTIEMBRE SA,93,
152,TRANSPORTES RIO GRANDE S.A.C.I.F.,TRANSPORTES RIO GRANDE SACIF,93,
153,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,MICROOMNIBUS SAAVEDRA SATACI,92,
154,EMPRESA DE TRANSP. MARIANO MORENO S.A.,EMPRESA DE TRANSPORTES MARIANO MORENO S.A.,92,
155,EMPRESA DE TRANSPORTES TENIENTE GRAL ROCA S.A.,EMPRESA DE TRANSPORTE TTE GRAL ROCA SA,92,
156,LA VECINAL DE LA MATANZA S.A.C.I. DE MICROOMNIBUS,LA VECINAL DE MATANZA SACI DE MICROOMNIBUS,92,
157,TRANSPORTES AUTOMOTORES DE PASAJEROS SIGLO XI,TRANSPORTES AUTOMOTORES DE PASAJEROS SIGLO VEINTIUNO S.A.,92,
158,4 DE SEPTIEMBRE S.A.T.C.P.,4 DE SEPTIEMBRE SATCP,91,
159,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,DOTA SA DE TRANSPORTE AUTOMOTOR,91,
160,TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.,TRANSP VEINTIDOS DE SEPTIEMBRE S A C,91,
161,TRANSPORTE LA UNION SA,TRANSPORTES LA UNION SRL,91,LA UNION SRL / TRANSPORTES LA UNION SRL
162,TRANSPORTES VILLA BOSCH SAC el,TRANSPORTES VILLA BOSCH S.A.C. E I.,91,
163,COMPAÑIA DE MICROOMNIBUS LA COLORADA S.A.C.I.,COMPANIA MICROOMNIBUS LA COLORADA SACI,91,
164,CARDENAS S.A. EMPRESA DE TRANSPORTES,CARDENAS S.A.,90,
165,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,COMPAÑIA OMNIBUS 25 DE MAYO LINEA 278 S.A.,90,
166,NUEVOS RUMBOS S.A.T.A.C.I.F.I.,NUEVOS RUMBOS S.A.,90,
167,SERGIO A. RIVAS S.R.L,EMPRESA DE TRANSPORTES SERGIO A. RIVAS S.R.L.,90,
168,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,90,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION TRANSITORIA
169,25 DE MAYO LINEA 278 S.A.,COMPAÑIA OMNIBUS 25 DE MAYO LINEA 278 S.A.,90,
170,ANTARTIDA ARGENTINA,EMPRESA ANTARTIDA ARGENTINA S.A DE T,90,
171,AUTOMOTORES CALLAO,TRANSPORTES AUTOMOTORES CALLAO SA ,90,
172,AUTOMOTORES RIACHUELO,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,90,
173,AZUL S.A.,AZUL S.A. DE TRANSPORTE AUTOMOTOR,90,
174,CARDENAS S.A. EMPRESA DE TRANSP.,CARDENAS S.A.,90,
175,DOTA,DOTA SA DE TRANSPORTE AUTOMOTOR,90,
176,EL LUCERO S.A.,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES LINEA 741,90,
177,EL RAPIDO ARGENTINO,EL RAPIDO ARGENTINO CIA DE MICROOMNIBUS S.A.,90,
178,GRAND BOURG S.A.T.C.I.,LA PRIMERA DE GRAND BOURG S.A.T.C.I.,90,
179,JOSE HERNANDEZ S.A.C.I.,TRANSPORTES JOSE HERNANDEZ S.A.C.I.,90,
180,LA PAZ AMADOR,CIA LA PAZ AMADOR MOURE SACIFIYA,90,
181,LA PERLITA S.A.,TRANSPORTES LA PERLITA S.A.,90,
182,MITRE S.A.,MICRO OMNIBUS MITRE S.A.,90,
183,MONTE GRANDE S.A.,EMPRESA MONTE GRANDE S.A. LINEA 501,90,
184,MONTERREY S.R.L.,EMPRESA MONTERREY S.R.L.,90,
185,NUDO,NUDO  SA,90,
186,NUEVA CHICAGO C.I.S.A.,TRANSPORTES NUEVA CHICAGO C I S A,90,
187,NUEVOS RUMBOS S.A.T.A.C.I.F.I,NUEVOS RUMBOS S.A.,90,
188,PLAZA,TRANSPORTE AUTOMOTOR PLAZA SACI,90,
189,PRIMERA JUNTA S.A.,MICRO OMNIBUS PRIMERA JUNTA S.A.,90,
190,RIO GRANDE,TRANSPORTES RIO GRANDE SACIF,90,
191,SARGENTO CABRAL S.A.T.,SARGENTO CABRAL S.A. DE TRANSPORTES,90,
192,TIGRE S.A.,MICRO OMNIBUS TIGRE S.A.,90,
193,TRATADO DEL PILAR S.R.L.,EMPRESA DE TRANSPORTE TRATADO DEL PILAR S.R.L.,90,
194,VILLA NUEVA S.A.,EXPRESO VILLA NUEVA S.A.,90,
195,EMPRESA CINCO DE AGOSTO S.R.L.,5 DE AGOSTO SRL,89,
196,EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A,EMPRESA DE TRANSPORTE TTE GRAL ROCA SA,89,
197,EMPRESA NUEVE DE JULIO S.A.T.,EXPRESO NUEVE DE JULIO S.A.,89,
198,LA NUEVA METROPOL S.A.,LA NUEVA METROPOL SATACI,89,
199,MICRO OMNIBUS GRAL PACHECO SRL,MICRO OMNIBUS GENERAL PACHECO S.A.,89,
200,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,MICRO OMNIBUS QUILMES SA COM IND Y FINANC,89,
201,TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.,TRANSPORTES AUTOMOTORES LANUS ESTE SOCIEDAD ANÓNIMA,89,
202,MICROOMNIBUS SAAVEDRA S.A.T.A.C.E I.,MICROOMNIBUS SAAVEDRA SATACI,89,
203,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,EMPRESA DE TRANSPORTES PEDRO DE MENDOZA C.I.S.A.,88,
204,EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL,EMPRESA MICROOMNIBUS LARROQUEL.548,88,
205,NUDO S.A.,NUDO  SA,88,
206,TRANSPORTES LINEA 123 S.A.C.I.,TRANSPORTE LÍNEA 123 S.A.,88,
207,COMPAÑIA\xa0 DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,87,
208,LINEA 213 S.A. DE TRANSPORTE,LINEA 213 SOCIEDAD ANONIMA DE TRANSPORTE,87,
209,M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR,MODO S.A.,87,
210,MICRO OMNIBUS NORTE S.A.,MICRO OMNIBUS NORTE SOCIEDAD ANONIMA,87,
211,ALMAFUERTE EMPRESA DE TRANSPOR,ALMAFUERTE EMPRESA DE TRANSPORTE SACIEI,87,
212,TRANPORTE LA UNION S.A.,TRANSPORTE LA UNION LINEA 202 S.A.,87,
213,AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT,AUTOBUSES BUENOS AIRES SRL,86,RARO!
214,BUENOS AIRES BUS SOCIEDAD ANONIMA,BUENOS AIRES BUS S.A.,86,
215,COLECTIVEROS UNIDOS S.A.,COLECTIVEROS UNIDOS SOCIEDAD ANONIMA C U S A,86,
216,COMPAÑIA NOROESTE S.A.T.,CIA NOROESTE S A DE TRANSPORTE,86,
217,D.U.V.I. SOCIEDAD ANONIMA,DUVI S.A.,86,
218,EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.,EMPRESA DE TRANSPORTES MICROOMNIBUS SAENZ PEÑA SRL,86,
219,EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.,EMPRESARIOS TRANSPORTE AUTOMOTOR PASAJEROS S A,86,
220,EMPRESA DEL OESTE SAT,EMPRESA DEL OESTE S.A. DE TRANSPORTES,86,
221,EMPRESA LINEA 216 S.A.T.,EMPRESA LINEA DOSCIENTOS DIECISEIS S A DE TRANSPORTES,86,
222,EMPRESA LINEA SIETE SAT,EMPRESA LINEA SIETE SOCIEDAD ANONIMA DE TRANSPORTE,86,
223,FUERTE BARRAGAN S.A.T.I.C.I.,FUERTE BARRAGAN S A DE TRANSPORTE INDUSTRIAL COMERCIAL INMOBILIARIA Y FINANCIERA,86,
224,LA PRIMERA DE MALVINAS ARGENTINAS UTE,LA PRIMERA DE MALVINAS ARGENTINAS UNION TRANSITORIA DE EMPRESA,86,
225,LIBERTADOR SAN MARTIN SAT,EMPRESA LIBERTADOR SAN MARTIN S.A.T.,86,
226,LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.,LINEA DE MICROOMNIBUS 47 SOCIEDAD ANONIMA,86,
227,LOS CONSTITUYENTES S.A.T.,LOS CONSTITUYENTES SOCIEDAD ANONIMA DE TRANSPORTES,86,
228,MAYO S.A.T.A.,MAYO SOCIEDAD ANONIMA TRANSPORTE AUTOMOTOR,86,
229,MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I,MICROOMNIBUS CIUDAD DE BUENOS AIRES SATCI,86,
230,MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.,MICROOMNIBUS 45 S.A.C.I.F.,86,
231,SOCIEDAD ANONIMA EXPRESO SUDOESTE,S A EXPRESO SUDOESTE SAES,86,
232,TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.,EMPRESA DE TRANSPORTES AUTOMOTORES 12 DE OCTUBRE S A,86,
233,TRANSP. SGTO. CABRAL,SARGENTO CABRAL S.A. DE TRANSPORTES,86,LA DEJAMOS PERO HAY RUIDO
234,TRANSPORTE ESCALADA S.A.T.,TRANSPORTE ESCALADA SA DE TRANSPORTES,86,
235,TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA,TRANSPORTES AUTOMOTORES DE PASAJEROS SIGLO VEINTIUNO S.A.,86,
236,UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION TRANSITORIA,86,
237,UTENOR SA L 722,UTENOR S.A. LINEA 722 UNION TRANSITORIA DE EMPRE,86,
238,VUELTA DE ROCHA S.A.T.C.I.,VUELTA DE ROCHA SA,86,
239,EMPRESA DE TRANSPORTE PARQUE COSTERO DEL SUR S.R.L,EMP. TTES. PARQUE COSTERO DEL SUR S.R.L,86,
240,UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION TRANSITORIA,86,
241,AUTOMOTORES LA PLATA S.A.,TRANSPORTE AUTOMOTORES LA PLATA SA,86,
242,COLECTIVEROS UNIDOS S.A,COLECTIVEROS UNIDOS SOCIEDAD ANONIMA C U S A,86,
243,COMP. DE TRANPORTE VECINAL S.A,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,86,
244,COOPERATIVA 3 DE JULIO LIMITAD,COOPERATIVA DE TRABAJO 3 DE JULIO LTDA.,86,
245,D.U.V.I. S.A.,DUVI S.A.,86,
246,EMP. 4 DE SEPTIEMBRE,4 DE SEPTIEMBRE SATCP,86,
247,EMP. DE TRANSP. DEL SUR,EMPRESA DE TRANSPORTE DEL SUR SRL,86,
248,EMP. DE TRANSP. LINEA 104 S.A.,EMPRESA DE TRANSPORTES 104 S.A.,86,
249,EMPALME LOBOS S.R.L.,EXPRESO EMPALME LOBOS SRL,86,
250,EMPRESA DEL OESTE S.A.T.,EMPRESA DEL OESTE S.A. DE TRANSPORTES,86,
251,EMPRESA LINEA 7 S.A.T.,EMPRESA LINEA SIETE SOCIEDAD ANONIMA DE TRANSPORTE,86,
252,EXPRESO COOP.DE TRABAJO 6 DE JULIO LIMITADA,COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA,86,
253,GENERAL PACHECO S.R.L.,MICRO OMNIBUS GENERAL PACHECO S.A.,86,
254,GENERAL SAN MARTIN S.A.C.,MICROOMNIBUS GENERAL SAN MARTIN SAC ,86,
255,LA PRIMERA DE MALVINAS ARG UTE,LA PRIMERA DE MALVINAS ARGENTINAS UNION TRANSITORIA DE EMPRESA,86,
256,LANUS ESTE S.A.,TRANSPORTES AUTOMOTORES LANUS ESTE SOCIEDAD ANÓNIMA,86,
257,LARROQUE LINEA 548 S.R.L.,EMPRESA MICROOMNIBUS LARROQUEL.548,86,
258,LINEA 213 S.A.T.,LINEA 213 SOCIEDAD ANONIMA DE TRANSPORTE,86,
259,LINEA 216 S.A. DE T.,EMPRESA LINEA DOSCIENTOS DIECISEIS S A DE TRANSPORTES,86,
260,LÍNEA DE MICROOMNIBUS 47 S.A.,LINEA DE MICROOMNIBUS 47 SOCIEDAD ANONIMA,86,
261,M. MORENO S.A.,EMPRESA DE TRANSPORTES MARIANO MORENO S.A.,86,
262,M. OMNIBUS BCAS DE BELGRANO SA.,MICROOMNIBUS BARRANCAS DE BELGRANO S. A.,86,
263,M.O.D.O S.A.,MODO S.A.,86,
264,MAYO S.A.T.A,MAYO SOCIEDAD ANONIMA TRANSPORTE AUTOMOTOR,86,
265,NUEVA METROPOL S.A.T.A.C.I,LA NUEVA METROPOL SATACI,86,
266,OHIGGINS S.A.T.,MICRO OMNIBUS O´HIGGINS SAT,86,
267,P.MENDOZA CISA,EMPRESA DE TRANSPORTES PEDRO DE MENDOZA C.I.S.A.,86,
268,TRANSP. 22 DE SEPT. SAC,TRANSP VEINTIDOS DE SEPTIEMBRE S A C,86,
269,TRANSP. SANTA FE,TRANSPORTES SANTA FE S.A.C.E.I.,86,
270,TRANSPORTE LOPE DE VEGA,TRANSPORTES LOPE DE VEGA S A C I,86,
271,VILLA BOSCH S.A.C.E I,TRANSPORTES VILLA BOSCH S.A.C. E I.,86,
272,COMPAÑIA\xa0 DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,86,
273,EXPRESO VILLA GALICIA\xa0 SAN JOSE S.A.,EXPRESO VILLA GALICIA SAN JOSE S.A.,86,
274,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,86,
275,COMPAÑIA DE TRANSPORTE VECINAL S.A. ,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,90,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION 
276,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,90,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION TRANSITORIA
277,COMPAÑIA DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,90,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION TRANSITORIA
278,COMPAÑIA DE TRANSPORTE VECINAL S.A.,CIA DE TRANSPORTE VECINAL SOCIEDAD ANONIMA,90,C.O.S.A. COMPAÑIA DE TRANSPORTE VECINAL S.A. UNION 
279,EXPRESO VILLA GALICIA  SAN JOSE S.A.,EXPRESO VILLA GALICIA SAN JOSE S.A.,100,
280,EXPRESO VILLA GALICIA  SAN JOSE S.A.,EXPRESO VILLA GALICIA SAN JOSE S.A.,100,